Private Room in Williamsburg Near L train,227890058,Adal,Brooklyn,Williamsburg,40.71557,-73.94793,Private room,74,3,21,2,13,16
"Habitación Privada, solo 30 minutos de Manhattan!",223087887,JEMGs Hostel,Queens,Corona,40.73689,-73.86342,Private room,60,1,23,11,356,22
"Home Away From Home! Beautiful APT, Great Location",429776033,Alpha,Queens,Jamaica,40.68989,-73.80479,Entire home/apt,146,1,54,2,87,54
Feel Abundantly Well In a Quaint UES 2 Bedroom,128411044,Dedra,Manhattan,Upper East Side,40.78258,-73.94639,Private room,210,30,0,1,90,0
"SpaciousCozy Room, 3 stops frm Grand Central-10min",39174588,Summer,Queens,Long Island City,40.74517,-73.94504,Private room,108,3,28,1,0,21
Lovely studio w/ free parking on premises,429792351,Lynn,Queens,Jamaica,40.70594,-73.80345,Entire home/apt,153,3,29,1,365,25
Spacious 2-Bedroom Park Slope Brownstone w. Office,430510722,Matthew,Brooklyn,Park Slope,40.67163,-73.98086,Entire home/apt,368,1,79,1,180,60
1 bd on 23rd fl with lots of light & great views,55713789,Svetlana,Manhattan,Upper West Side,40.77348,-73.98845,Entire home/apt,140,30,1,1,0,0
"Extremely comfy, chic Greenpoint 💎 gem!",4605212,Hannah,Brooklyn,Greenpoint,40.72925,-73.9523,Entire home/apt,193,2,24,1,36,14
"Shared Room, Sofa Cama para mujeres en Queens",223087887,JEMGs Hostel,Queens,Corona,40.73859,-73.86263,Shared room,30,1,22,11,365,19
S & M Cozy Abode: JFK/LGA minutes away,429793250,Nicole,Brooklyn,East New York,40.66913,-73.85814,Entire home/apt,113,1,68,1,80,53
Room to Rent in two bedrooms Apartment,387493702,Tara,Bronx,Parkchester,40.83828,-73.86018,Private room,95,2,4,2,362,1
Sunny Artist duplex with beautiful private terrace,17026738,Camila,Brooklyn,Bedford-Stuyvesant,40.69301,-73.92948,Entire home/apt,169,7,0,2,79,0
Thanksgiving @ Midtown 45 (no hidden fees),371911830,Gerard,Manhattan,Midtown,40.75289,-73.97146,Private room,249,2,1,3,0,0
Lovely Central Park Apartment with direct views,62693751,Sandra,Manhattan,Midtown,40.76458,-73.97764,Entire home/apt,3500,4,0,1,343,0
Modern Studio with Balcony,311438508,Donna,Bronx,Port Morris,40.80625,-73.92289,Entire home/apt,120,2,75,1,51,60
Elegant Bedroom |Serviced Coliving Apartment,430520580,SharedEasy,Brooklyn,Bushwick,40.68818,-73.90952,Private room,70,30,1,9,365,1
HUGE apt Boho Dream private room,195024069,Christina,Queens,Forest Hills,40.72391,-73.84808,Private room,100,1,19,2,0,9
One bedroom  apartment in historic Bed-Stuy,430077990,Karen,Brooklyn,Bedford-Stuyvesant,40.69352,-73.93923,Entire home/apt,175,2,22,1,364,17
✸CozyEntire 2BR Apt Right in the ❤️ of Manhattan ✸,430327041,Natalie,Manhattan,Chinatown,40.71806,-73.99395,Entire home/apt,205,5,44,5,146,29
Heart of West Village 1 Bedroom Apt,123062916,Kendall,Manhattan,West Village,40.73018,-74.00436,Entire home/apt,507,2,35,1,310,29
Spacious Modern Private Bedroom|Bushwick Brooklyn,430520580,SharedEasy,Brooklyn,Bushwick,40.68816,-73.9095,Private room,70,30,1,9,365,1
