43105,Studio 3 blocks from Empire State Building,188082,Thomas,Manhattan,Midtown,40.7449,-73.98499,Entire home/apt,185,30,4,2018-04-21,0.06,1,364,0,
14434,Private Bliss Art Space 2,7356,Garon,Brooklyn,Bedford-Stuyvesant,40.68777,-73.94976,Private room,70,30,60,2022-06-01,0.38,2,363,1,
74860,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",394752,Allison,Brooklyn,Greenpoint,40.72364,-73.95013,Entire home/apt,75,30,3,2019-10-30,0.02,1,0,0,
44229,BROOKLYN VICTORIAN STYLE SUITE.....,181376,Carol,Brooklyn,Fort Greene,40.69287,-73.97108,Private room,110,30,232,2022-09-05,1.53,2,365,1,
75635,Bright Cozy Chinatown Studio Apt.,401696,Patricia,Manhattan,Lower East Side,40.71911,-73.98588,Entire home/apt,175,3,377,2023-02-25,2.58,1,134,55,
15341,* Nolita One Bedroom in Doorman Elevator Bldg *,60049,Ted,Manhattan,Lower East Side,40.72136,-73.99367,Entire home/apt,199,30,33,2022-09-21,0.29,1,158,3,
15385,"Very, very cozy place",60252,Cristina,Brooklyn,Williamsburg,40.71211,-73.96397,Private room,85,5,52,2023-03-01,0.33,1,129,3,
44973,Creative South Williamsburg Studio,198411,Anastasia,Brooklyn,Williamsburg,40.70894,-73.95234,Entire home/apt,107,30,127,2022-11-30,0.84,1,132,3,
15396,Sunny & Spacious Chelsea Apartment,60278,Petra,Manhattan,Chelsea,40.74493,-73.99521,Entire home/apt,400,90,5,2018-11-03,0.06,1,118,0,
16338,Large Room - Deck Access in Clinton Hill Best Area,63613,Patricia,Brooklyn,Clinton Hill,40.69121,-73.96804,Private room,55,30,31,2023-02-22,0.19,2,192,2,
77765,Superior @ Box House,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73777,-73.95366,Hotel room,179,1,47,2023-03-04,0.32,30,136,9,
80493,Cozy room in East Village with AC,434987,Jennifer,Manhattan,East Village,40.7226,-73.98545,Private room,56,2,222,2023-02-19,1.53,1,75,24,
45542,Clean and Cozy Harlem Apartment,202249,Campbell,Manhattan,Harlem,40.82569,-73.93842,Entire home/apt,100,30,18,2018-12-17,0.33,1,0,0,
80684,Duplex w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,Hotel room,429,1,11,2022-09-12,0.08,30,216,1,
80700,Loft w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73777,-73.95366,Private room,349,1,10,2022-10-22,0.07,30,216,3,
16580,"Sunny, Modern room in East Village!",64442,Reka,Manhattan,East Village,40.72489,-73.9781,Private room,105,1,492,2023-01-27,4.24,2,135,49,
45556,"Fort Greene, Brooklyn: Center Bedroom",67778,Doug,Brooklyn,Fort Greene,40.68834,-73.97578,Private room,65,2,368,2023-03-04,2.42,3,194,70,
16821,Large WFH Room in Amazing E. Village Apt (Room A),4396,Casey,Manhattan,East Village,40.72281,-73.98501,Private room,136,2,173,2023-02-16,1.35,2,14,29,
